graph_a,graph_b,edges_a,edges_b,shared,union,jaccard,contain_a_in_b,contain_b_in_a,overlap_coefficient
physical,regulatory,137604,37677,890,174391,0.005103474376544661,0.006467835237347752,0.02362183825676142,0.02362183825676142
physical,tflink,137604,199551,1945,335210,0.005802332865964619,0.014134763524316153,0.009746881749527689,0.014134763524316153
physical,string12_0_neighborhood,137604,146713,4539,279778,0.016223577264831403,0.03298595971047353,0.030937953691901877,0.03298595971047353
physical,string12_0_fusion,137604,11787,786,148605,0.005289189461996568,0.005712043254556554,0.06668363451259862,0.06668363451259862
physical,string12_0_cooccurence,137604,11085,1000,147689,0.00677098497518434,0.007267230603761519,0.09021199819576003,0.09021199819576003
physical,string12_0_coexpression,137604,996199,69805,1063998,0.06560632632768107,0.5072890322955728,0.07007134116777873,0.5072890322955728
physical,string12_0_experimental,137604,822094,104771,854927,0.12254964458953806,0.761395017586698,0.12744406357423846,0.761395017586698
physical,string12_0_database,137604,72617,11149,199072,0.05600486256228902,0.08102235400133717,0.15353154220086207,0.15353154220086207
regulatory,tflink,37677,199551,16885,220343,0.07663052604348675,0.44815139209597366,0.08461496058651673,0.44815139209597366
regulatory,string12_0_neighborhood,37677,146713,74,184316,0.0004014844072136982,0.0019640629561801628,0.0005043861143865915,0.0019640629561801628
regulatory,string12_0_fusion,37677,11787,23,49441,0.00046520094658279563,0.0006104519998938344,0.0019513022821752777,0.0019513022821752777
regulatory,string12_0_cooccurence,37677,11085,71,48691,0.0014581750220780021,0.0018844387822809672,0.006405051871898963,0.006405051871898963
regulatory,string12_0_coexpression,37677,996199,3903,1029973,0.003789419722652924,0.10359105024285373,0.0039178919071390355,0.10359105024285373
regulatory,string12_0_experimental,37677,822094,4421,855350,0.005168644414567136,0.11733949093611487,0.005377730527165993,0.11733949093611487
regulatory,string12_0_database,37677,72617,153,110141,0.0013891284807655642,0.004060832868858986,0.0021069446548328905,0.004060832868858986
tflink,string12_0_neighborhood,199551,146713,370,345894,0.0010696918709199928,0.001854162595025833,0.0025219305719329575,0.0025219305719329575
tflink,string12_0_fusion,199551,11787,60,211278,0.00028398602788742795,0.00030067501540959453,0.0050903537795876815,0.0050903537795876815
tflink,string12_0_cooccurence,199551,11085,120,210516,0.000570027931368637,0.0006013500308191891,0.010825439783491205,0.010825439783491205
tflink,string12_0_coexpression,199551,996199,16568,1179182,0.01405041800163164,0.0830263942551027,0.016631215249162064,0.0830263942551027
tflink,string12_0_experimental,199551,822094,20007,1001638,0.01997428212587781,0.1002600838883293,0.024336633037097946,0.1002600838883293
tflink,string12_0_database,199551,72617,552,271616,0.0020322808671065034,0.0027662101417682697,0.007601525813514742,0.007601525813514742
string12_0_neighborhood,string12_0_fusion,146713,11787,1666,156834,0.010622696609153628,0.0113555036022711,0.14134215661321795,0.14134215661321795
string12_0_neighborhood,string12_0_cooccurence,146713,11085,273,157525,0.0017330582447230597,0.0018607758003721551,0.02462787550744249,0.02462787550744249
string12_0_neighborhood,string12_0_coexpression,146713,996199,119758,1023154,0.11704787353614413,0.8162739498203977,0.12021493697544366,0.8162739498203977
string12_0_neighborhood,string12_0_experimental,146713,822094,61620,907187,0.06792425376465933,0.4200036806554293,0.07495493216104242,0.4200036806554293
string12_0_neighborhood,string12_0_database,146713,72617,21827,197503,0.11051477699072926,0.14877345565832611,0.30057699987606207,0.30057699987606207
string12_0_fusion,string12_0_cooccurence,11787,11085,314,22558,0.013919673729940598,0.026639518113175532,0.02832656743346865,0.02832656743346865
string12_0_fusion,string12_0_coexpression,11787,996199,8578,999408,0.008583081184060964,0.7277509120217188,0.008610729382382436,0.7277509120217188
string12_0_fusion,string12_0_experimental,11787,822094,5948,827933,0.007184156205876563,0.5046237380164588,0.0072351823514099365,0.5046237380164588
string12_0_fusion,string12_0_database,11787,72617,863,83541,0.010330256999557103,0.07321625519640282,0.011884269523665258,0.07321625519640282
string12_0_cooccurence,string12_0_coexpression,11085,996199,7090,1000194,0.007088624806787483,0.6396030672079387,0.007117051914326354,0.6396030672079387
string12_0_cooccurence,string12_0_experimental,11085,822094,5648,827531,0.00682512195917736,0.5095173658096527,0.006870260578473995,0.5095173658096527
string12_0_cooccurence,string12_0_database,11085,72617,1159,82543,0.014041166422349564,0.10455570590888588,0.01596045003236157,0.10455570590888588
string12_0_coexpression,string12_0_experimental,996199,822094,556106,1262187,0.4405892312311884,0.5582278239588676,0.6764506248677159,0.6764506248677159
string12_0_coexpression,string12_0_database,996199,72617,56600,1012216,0.0559169189184917,0.056815957454283736,0.7794318134871999,0.7794318134871999
string12_0_experimental,string12_0_database,822094,72617,39473,855238,0.04615440380338572,0.04801519047700142,0.5435779500667888,0.5435779500667888
