double,gene1,gene2,n_plates,dmf,expected,eps,eps_se,eps_sd_across_plates,ref_dmf,ref_dmf_sd,ref_dmf_se,ref_eps,ref_p,significant
YDR057W+YER079W,YDR057W,YER079W,3,0.9402785784548199,1.7123904131086853,-0.7721118346538655,0.3691661854286993,0.7867971030581195,1.0963,0.0541,0.02705,0.0124,0.4351,False
YDR057W+YGL087C,YDR057W,YGL087C,3,0.788446876577256,1.442007633232345,-0.6535607566550893,0.136075380214821,0.2940088440412306,1.1372,0.0238,0.0119,0.0979,0.0009888,True
YDR057W+YLL012W,YDR057W,YLL012W,3,0.9315006893042349,1.5704391101337443,-0.6389384208295094,0.20542987809578855,0.4373721484734424,0.9995,0.069,0.0345,-0.0361,0.2964,False
YLL012W+YPL046C,YLL012W,YPL046C,3,0.908651773714568,1.5192430126953667,-0.6105912389807987,0.08799289706117144,0.18732329385775512,1.0251,0.0534,0.0267,-0.0104,0.4293,False
YDR057W+YPL081W,YDR057W,YPL081W,3,0.607103414710993,1.139416899401018,-0.532313484690025,0.22457824072379454,0.47712469895229337,1.0351,0.0447,0.02235,0.0386,0.2599,False
YBR203W+YPL046C,YBR203W,YPL046C,3,0.8881657384293477,1.371613150237833,-0.4834474118084855,0.12084263125627913,0.258288323844645,1.1179,0.0171,0.00855,0.036,0.07702,False
YER079W+YLR312C-B,YER079W,YLR312C-B,3,0.7728060134695074,1.091617558906247,-0.31881154543673956,0.02062681394697487,0.043804161841658446,1.0994,0.0393,0.01965,-0.027,0.2897,False
YER079W+YPL081W,YER079W,YPL081W,3,0.9495877740760971,1.2237207687084355,-0.2741329946323386,0.16129311152091025,0.3380834478983321,0.8625,0.0975,0.04875,-0.1295,0.03516,True
YPL046C+YPL081W,YPL046C,YPL081W,3,0.9335280108424567,1.0940687831804927,-0.16054077233803607,0.1065712775367707,0.2261750312606261,,,,,,False
YDR057W+YLR312C-B,YDR057W,YLR312C-B,3,0.8895057241610022,1.0229671724415124,-0.1334614482805101,0.06875574414675088,0.14703399863127883,1.1783,0.0257,0.01285,0.0466,0.119,False
YLR312C-B+YPL081W,YLR312C-B,YPL081W,3,0.6479938902428165,0.7472557628463727,-0.09926187260355616,0.08025753514146565,0.17320947575610532,1.0165,0.0418,0.0209,-0.0192,0.3554,False
YJR060W+YPL046C,YJR060W,YPL046C,3,0.5649020599446263,0.6528167776609234,-0.08791471771629716,0.07879589625806444,0.1685488954529189,0.9663,0.0178,0.0089,0.0033,0.4526,False
YER079W+YJR060W,YER079W,YJR060W,3,0.6886121082975053,0.7334780504916875,-0.04486594219418205,0.0940448126793206,0.2029660427243867,0.61,0.0183,0.00915,-0.0029,0.4541,False
