gene1,gene2,tier,n_triples_enabled,significant,DmfCostanzo2016_fitness,DmfCostanzo2016_std,se,eps,p,DmfKuzmin2018_fitness,DmfKuzmin2018_std,DmfKuzmin2020_fitness,DmfKuzmin2020_std,DmfCostanzo2016_strain_id
YGL087C,YJR060W,,0,False,0.5129,0.172,0.086,-0.0748,0.2683,,,,,YGL087C_dma1665
YDR057W,YJR060W,,1,False,0.5914,0.0378,0.0189,-0.0243,0.2793,,,,,YDR057W_dma863
YJR060W,YLL012W,,1,False,0.6049,0.0226,0.0113,0.0193,0.2491,,,1.1185,0.0846,YJR060W_sn154
YBR203W,YJR060W,,1,False,0.6091,0.0247,0.01235,-0.0028,0.4679,0.7677,0.0413,,,YBR203W_dma358
YER079W,YJR060W,validation,3,False,0.61,0.0183,0.00915,-0.0029,0.4541,,,,,YER079W_dma1369
YER079W,YPL081W,validation,0,True,0.8625,0.0975,0.04875,-0.1295,0.03516,,,,,YER079W_dma1369
YJR060W,YKL033W-A,validation,0,True,0.8712,0.0234,0.0117,-0.082,0.006994,,,,,YJR060W_dma2646
YKL033W-A,YPL081W,,2,False,0.8924,0.0778,0.0389,-0.0939,0.1345,,,,,YKL033W-A_dma2769
YJR060W,YPL081W,,0,False,0.9106,0.0334,0.0167,0.0292,0.2614,,,,,YJR060W_dma2646
YLL012W,YPL081W,,0,False,0.9612,0.0663,0.03315,0.0134,0.4321,,,,,YLL012W_dma3027
YJR060W,YPL046C,coverage,4,False,0.9663,0.0178,0.0089,0.0033,0.4526,0.7376,0.0601,,,YJR060W_dma2646
YER079W,YLL012W,,3,False,0.9895,0.0209,0.01045,-0.0414,0.09627,,,,,YER079W_sn3579
YGL087C,YLL012W,,2,False,0.9913,0.0267,0.01335,0.0028,0.4685,,,0.9764,0.3376,YGL087C_sn1674
YGL087C,YKL033W-A,,0,False,0.9913,0.0432,0.0216,-0.0372,0.261,,,,,YGL087C_dma1665
YBR203W,YPL081W,,2,False,0.9957,0.0842,0.0421,0.0054,0.4759,,,,,YBR203W_dma358
YKL033W-A,YLL012W,,1,False,0.999,0.0455,0.02275,-0.026,0.3016,,,,,YKL033W-A_sn629
YDR057W,YLL012W,coverage,5,False,0.9995,0.069,0.0345,-0.0361,0.2964,,,,,YDR057W_sn190
YGL087C,YPL081W,,2,False,1.0066,0.0508,0.0254,0.0554,0.1859,,,,,YGL087C_dma1665
YLR312C-B,YPL081W,coverage,3,False,1.0165,0.0418,0.0209,-0.0192,0.3554,,,,,YLR312C-B_sn4563
YJR060W,YLR312C-B,,2,False,1.0248,0.0142,0.0071,0.0238,0.133,,,,,YJR060W_dma2646
YLL012W,YPL046C,coverage,5,False,1.0251,0.0534,0.0267,-0.0104,0.4293,,,,,YLL012W_dma3027
YER079W,YGL087C,,2,False,1.0263,0.047,0.0235,-0.0083,0.4344,,,,,YER079W_dma1369
YDR057W,YPL081W,coverage,3,False,1.0351,0.0447,0.02235,0.0386,0.2599,,,,,YDR057W_dma863
YBR203W,YKL033W-A,,1,False,1.0432,0.0111,0.00555,-0.0277,0.05081,,,,,YBR203W_dma358
YBR203W,YGL087C,,1,False,1.0457,0.0032,0.0016,0.0129,0.003934,1.0287,0.046,,,YBR203W_dma358
YKL033W-A,YPL046C,,1,False,1.0585,0.0365,0.01825,-0.0189,0.3391,,,,,YKL033W-A_dma2769
YLL012W,YLR312C-B,,3,False,1.0662,0.0353,0.01765,-0.0102,0.4112,,,,,YLL012W_dma3027
YER079W,YPL046C,,3,False,1.0711,0.0414,0.0207,-0.0125,0.4015,,,,,YER079W_dma1369
YDR057W,YPL046C,,0,False,1.0917,0.0457,0.02285,0.003,0.4784,,,,,YDR057W_dma863
YDR057W,YER079W,coverage,5,False,1.0963,0.0541,0.02705,0.0124,0.4351,,,,,YDR057W_dma863
YBR203W,YLL012W,,2,False,1.0984,0.0635,0.03175,0.0692,0.1585,,,,,YBR203W_sn3868
YER079W,YLR312C-B,coverage,5,False,1.0994,0.0393,0.01965,-0.027,0.2897,,,,,YER079W_dma1369
YER079W,YKL033W-A,,2,False,1.1028,0.0292,0.0146,0.0301,0.231,,,,,YER079W_dma1369
YGL087C,YLR312C-B,,2,False,1.1095,0.0649,0.03245,0.0293,0.3374,,,,,YGL087C_dma1665
YGL087C,YPL046C,,2,False,1.1105,0.0218,0.0109,0.0714,0.01067,0.998,0.0665,,,YGL087C_dma1665
YLR312C-B,YPL046C,,2,False,1.1129,0.0877,0.04385,-0.0186,0.4088,,,,,YLR312C-B_sn4563
YBR203W,YLR312C-B,,2,False,1.1144,0.0924,0.0462,-0.0103,0.4579,,,,,YBR203W_dma358
YBR203W,YPL046C,coverage,5,False,1.1179,0.0171,0.00855,0.036,0.07702,,,,,YBR203W_dma358
YKL033W-A,YLR312C-B,,2,False,1.1251,0.0241,0.01205,0.0051,0.4409,,,,,YKL033W-A_dma2769
YDR057W,YKL033W-A,,3,False,1.1285,0.0613,0.03065,0.0509,0.2312,,,,,YDR057W_dma863
YBR203W,YER079W,,3,False,1.1326,0.0955,0.04775,0.0554,0.3114,,,,,YBR203W_dma358
YDR057W,YGL087C,validation,3,True,1.1372,0.0238,0.0119,0.0979,0.0009888,,,,,YDR057W_dma863
YBR203W,YDR057W,,3,False,1.1437,0.0102,0.0051,0.0616,1.435e-05,,,,,YBR203W_dma358
YDR057W,YLR312C-B,validation,1,False,1.1783,0.0257,0.01285,0.0466,0.119,,,,,YDR057W_dma863
YPL046C,YPL081W,novel,0,False,,,,,,,,,,
